code,description
i5237,"Worn-out clutch plate from agricultural machinery"
i2567,"Reactor fuel cassette with micro-fractures in casing, handle with extreme caution"
i6047,"Reactor fuel cassette with experimental thorium-based fuel composition"
i7628,"Transformer core from a substation, weighs about 90 kilograms"
i8095,"Soldering iron with hand-carved wooden grip, surprisingly effective"
i2048,"Rusty hand-cranked generator salvaged from a pre-war emergency shelter"
i6102,"Steel ball bearings, approximately 500 pieces in a sealed metal drum"
i1734,"Cast iron flywheel weighing roughly 40 kilograms"
i1107,"Semi-automatic handgun with worn serial markings"
i3061,"Bicycle chain and derailleur mechanism in working condition"
